Name,2021 Rank,2021 Count,2020 Rank,2020 Count,2019 Rank,2019 Count,2018 Rank,2018 Count,2017 Rank,2017 Count,2016 Rank,2016 Count,2015 Rank,2015 Count,2014 Rank,2014 Count,2013 Rank,2013 Count,2012 Rank,2012 Count,2011 Rank,2011 Count,2010 Rank,2010 Count,2009 Rank,2009 Count,2008 Rank,2008 Count,2007 Rank,2007 Count,2006 Rank,2006 Count,2005 Rank,2005 Count,2004 Rank,2004 Count,2003 Rank,2003 Count,2002 Rank,2002 Count,2001 Rank,2001 Count,2000 Rank,2000 Count,1999 Rank,1999 Count,1998 Rank,1998 Count,1997 Rank,1997 Count,1996 Rank,1996 Count
Csaba,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,079",6,"4,747",3,[x],[x],[x],[x],"2,721",7,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Csanad,[x],[x],[x],[x],[x],[x],"3,959",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Csongor,"3,990",4,[x],[x],[x],[x],[x],[x],[x],[x],"4,810",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Cuan,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,810",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,678",3,[x],[x],[x],[x],"3,095",5,"4,052",3,[x],[x],[x],[x],"3,467",3,[x],[x],"3,134",3,"3,036",3,"2,425",4,[x],[x],[x],[x],[x],[x]
Cub,"3,451",5,[x],[x],"3,013",6,"3,412",5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Cuba,[x],[x],"2,228",9,"2,488",8,"2,693",7,"2,172",10,"1,903",12,"1,902",12,"3,362",5,"2,954",6,"3,039",6,"3,830",4,[x],[x],"3,227",5,"3,158",5,"3,589",4,"3,385",4,"1,534",12,"2,578",5,[x],[x],"2,636",4,"3,134",3,[x],[x],"2,943",3,[x],[x],[x],[x],[x],[x]
Cuban,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,810",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Cuinn,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,810",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Cullan,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,678",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"1,850",6,"2,419",4,[x],[x],"2,020",5
Cullen,"1,860",12,"2,404",8,"2,266",9,"2,259",9,"2,172",10,"1,903",12,"2,150",10,"2,459",8,"2,403",8,"1,270",20,"1,342",18,"1,344",18,"1,649",13,"3,158",5,"2,211",8,"1,401",14,"1,991",8,"1,596",10,"1,513",10,[x],[x],"2,220",5,"1,703",7,"1,281",10,"1,642",7,"1,052",13,"1,235",10
Cullum,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,225",3,[x],[x],"3,036",3,[x],[x],[x],[x],"2,337",4,"2,357",4
Cuma,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,333",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Curran,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,678",3,[x],[x],[x],[x],[x],[x],"4,052",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"2,097",5,[x],[x],[x],[x],"2,357",4
Curt,[x],[x],[x],[x],"4,702",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,651",3,"2,189",6,"3,225",3,"3,134",3,[x],[x],[x],[x],"2,074",5,[x],[x],[x],[x]
Curtis,790,41,755,42,568,66,675,51,517,76,401,107,445,91,434,93,402,101,359,120,328,135,287,159,257,173,236,189,214,212,201,217,204,185,194,199,167,237,144,293,132,321,112,394,109,438,101,503,85,675,78,757
